geneID,test,log2FoldChange,pvalue,From,Gene Names,Gene Name
A1bg,group2/group1,0.0,1.0,A1bg,A1BG,A1BG
A1cf,group2/group1,0.0,1.0,A1cf,A1CF ACF ASP,A1CF
A2m,group2/group1,0.0,1.0,A2m,A2M CPAMD5 FWP007,A2M
A3galt2,group2/group1,0.0,1.0,A3galt2,A3GALT2 A3GALT2P IGBS3S,A3GALT2
A4galt,group2/group1,0.0,1.0,A4galt,A4GALT A14GALT A4GALT1,A4GALT
A4gnt,group2/group1,0.0,1.0,A4gnt,A4GNT,A4GNT
Aaas,group2/group1,-0.49,0.56277861459914,Aaas,AAAS ADRACALA GL003,AAAS
Aacs,group2/group1,1.79,0.0473969336221596,Aacs,AACS ACSF1,AACS
Aadac,group2/group1,0.0,1.0,Aadac,AADAC DAC,AADAC
Aadacl2,group2/group1,0.0,1.0,Aadacl2,AADACL2,AADACL2
Aadacl3,group2/group1,0.0,1.0,Aadacl3,AADACL3,AADACL3
Aadat,group2/group1,0.0,1.0,Aadat,AADAT KAT2 KYAT2,AADAT
Aaed1,group2/group1,0.96,0.419409274589004,Aaed1,PRXL2C AAED1 C9orf21,PRXL2C
Aagab,group2/group1,-0.64,0.688560081567201,Aagab,AAGAB,AAGAB
Aak1,group2/group1,-6.01,0.162348056646644,Aak1,AAK1 KIAA1048,AAK1
Aamdc,group2/group1,-5.43,0.230827142370132,Aamdc,AAMDC C11orf67 PTD015,AAMDC
Aamp,group2/group1,0.23,0.545155740302162,Aamp,AAMP,AAMP
Aanat,group2/group1,0.0,1.0,Aanat,AANAT SNAT,AANAT
Aar2,group2/group1,1.53,0.274796509360219,Aar2,AAR2 C20orf4 CGI-23 PRO0225,AAR2
Aard,group2/group1,0.0,1.0,Aard,AARD C8orf85,AARD
Aars,group2/group1,0.97,0.0856926982898888,Aars,AARS1 AARS,AARS1
Aars2,group2/group1,-6.92,0.085212054813177,Aars2,AARS2 AARSL KIAA1270,AARS2
Aarsd1,group2/group1,-0.28,0.714406024745554,Aarsd1,AARSD1,AARSD1
Aasdh,group2/group1,-3.95,0.289448680629894,Aasdh,AASDH ACSF4 U26 HSPC318,AASDH
Aasdhppt,group2/group1,0.0,0.999998188913115,Aasdhppt,AASDHPPT CGI-80 HAH-P HSPC223 x0005,AASDHPPT
Aass,group2/group1,0.0,1.0,Aass,AASS,AASS
Aatf,group2/group1,-0.68,0.660202131061429,Aatf,AATF CHE1 DED HSPC277,AATF
Aatk,group2/group1,0.0,1.0,Aatk,AATK AATYK KIAA0641 LMR1 LMTK1,AATK
Abat,group2/group1,0.0,1.0,Abat,ABAT GABAT,ABAT
Abca1,group2/group1,1.92,0.400671477349291,Abca1,ABCA1 ABC1 CERP,ABCA1
Abca12,group2/group1,0.0,1.0,Abca12,ABCA12 ABC12,ABCA12
Abca13,group2/group1,0.0,1.0,Abca13,ABCA13,ABCA13
Abca2,group2/group1,-4.79,0.255552570891825,Abca2,ABCA2 ABC2 KIAA1062,ABCA2
